anio,mes,origen,destino,producto,toneladas,precio
2018,Mayo,Antioquia,Taiwán- Provincia de China,Café,32.14,145.94
2018,Mayo,Caldas,Taiwán- Provincia de China,Café,38.5,125.01
2018,Mayo,Cauca,Taiwán- Provincia de China,Café,17.48,51.65
2018,Mayo,Cundinamarca,Taiwán- Provincia de China,Café,38.5,129.9
2018,Mayo,Quindío,Otros,Café,173,588.96
2018,Mayo,Tolima,Ecuador,Café,6.61,49.56
2018,Mayo,Antioquia,El Salvador,Café,1.6700000000000002,13.969999999999999
2018,Mayo,Caldas,Emiratos Árabes,Café,19.25,66.02
2018,Mayo,Risaralda,Emiratos Árabes,Café,38.49,121.23
2018,Mayo,Valle del Cauca,Emiratos Árabes,Café,17.22,74.69
2018,Mayo,Quindío,España,Café,108.47,323.41
2018,Mayo,Atlántico,Estados Unidos,Café,17.51,55.26
2018,Mayo,Nariño,Estados Unidos,Café,249.67,906.07
2018,Mayo,Cundinamarca,Finlandia,Café,59.76,252.34
2018,Mayo,Huila,Finlandia,Café,209.86,656.28
2018,Mayo,Nariño,Finlandia,Café,41.93,123.09
2018,Mayo,Quindío,Finlandia,Café,0.9,6.62
2018,Mayo,Risaralda,Finlandia,Café,105.14,352.33
2018,Mayo,Valle del Cauca,Finlandia,Café,125.48,394.46000000000004
2018,Mayo,Caldas,Francia,Café,212.75,648.0899999999999
2018,Mayo,Cauca,Francia,Café,142.15,544.7
2018,Mayo,Huila,Francia,Café,181.72,562.0699999999999
2018,Mayo,Risaralda,Francia,Café,124.1,394.99
2018,Mayo,Cauca,Grecia,Café,39.94,127.79
2018,Mayo,Cundinamarca,Grecia,Café,19.27,57.68
2018,Mayo,Caldas,Guatemala,Café,4.93,54.67
2018,Mayo,Huila,India,Café,11.95,38.39
2018,Mayo,Valle del Cauca,Otros,Café,41.349999999999994,159.28
2018,Mayo,Antioquia,Israel,Café,134.89999999999998,431.12
2018,Mayo,Cauca,Israel,Café,38.25,117.29
2018,Mayo,Huila,Israel,Café,162.27,535.51
2018,Mayo,Risaralda,Israel,Café,134.49,432.15
2018,Mayo,Caldas,Italia,Café,339.74,1112.47
2018,Mayo,Cauca,Italia,Café,19.91,61.89
2018,Mayo,Huila,Italia,Café,550.6,1702.72
2018,Mayo,Quindío,Italia,Café,264.68,916.22
2018,Mayo,Valle del Cauca,Italia,Café,12.24,36.7
2018,Mayo,Risaralda,Jamaica,Café,19.23,57.03
2018,Mayo,Antioquia,Japón,Café,723.29,2297.5
2018,Mayo,Bogotá,Japón,Café,59.55,197.84
2018,Mayo,Caldas,Japón,Café,1756.0200000000002,5853.37
2018,Mayo,Cauca,Japón,Café,946,2847.4
2018,Mayo,Cundinamarca,Japón,Café,1448.96,4405.85
2018,Mayo,Huila,Japón,Café,869.05,2658.23
2018,Mayo,Quindío,Japón,Café,662.94,2107.58
2018,Mayo,Risaralda,Japón,Café,409.5,1246.17
2018,Mayo,Tolima,Japón,Café,574.8199999999999,1918.5700000000002
2018,Mayo,Valle del Cauca,Japón,Café,483.64,1453.77
2018,Mayo,Risaralda,Otros,Café,76.92,190.36
2018,Mayo,Caldas,Otros,Café,300.51,1127.1599999999999
2018,Mayo,Huila,Otros,Café,79.11,248.57999999999998
2018,Mayo,Quindío,México,Café,19.740000000000002,77.38000000000001
2018,Mayo,Risaralda,México,Café,17.47,51.52
2018,Mayo,Huila,Noruega,Café,297.27,886.02
2018,Mayo,Tolima,Noruega,Café,19.24,56.4
2018,Mayo,Valle del Cauca,Noruega,Café,4.12,33.18
2018,Mayo,Antioquia,Nueva Zelandia,Café,19.17,63.01
2018,Mayo,Caldas,Nueva Zelandia,Café,19.25,60.68
2018,Mayo,Cauca,Nueva Zelandia,Café,39.08,139.37
2018,Mayo,Huila,Nueva Zelandia,Café,17.73,91.27
2018,Mayo,Quindío,Nueva Zelandia,Café,39.27,122.47
2018,Mayo,Risaralda,Nueva Zelandia,Café,19.26,57.05
2018,Mayo,Valle del Cauca,Nueva Zelandia,Café,38.47,119.42
2018,Mayo,Caldas,Países Bajos,Café,83.94,266.46000000000004
2018,Mayo,Nariño,Países Bajos,Café,38.44,139.5
2018,Mayo,Valle del Cauca,Países Bajos,Café,20.96,86.47
2018,Mayo,Antioquia,Panamá,Café,32.79,169.83
2018,Mayo,Bogotá,Perú,Café,1.81,69.55
2018,Mayo,Antioquia,Polonia,Café,38.519999999999996,118.23
2018,Mayo,Caldas,Polonia,Café,59.6,546.64
2018,Mayo,Risaralda,Polonia,Café,19.28,58.76
2018,Mayo,Caldas,Portugal,Café,43.4,128.92
2018,Mayo,Cauca,Otros,Café,14.66,131.55
2018,Mayo,Antioquia,Reino Unido,Café,440.34999999999997,1668.5600000000002
